iso,name,constructionLandPrice
305,Amstetten,61.43
306,Baden,192.59
801,Bludenz,284.36
404,Braunau am Inn,68.52
802,Bregenz,289.11
307,Bruck an der Leitha,164.59
621,Bruck-Mürzzuschlag,54.35
603,Deutschlandsberg,41.87
803,Dornbirn,523.73
405,Eferding,92.83
101,Eisenstadt (Stadt),216.40
103,Eisenstadt-Umgebung,114.52
804,Feldkirch,379.41
210,Feldkirchen,56.05
406,Freistadt,56.32
308,Gänserndorf,93.49
309,Gmünd,20.44
407,Gmunden,122.49
601,Graz (Stadt),246.30
606,Graz-Umgebung,94.91
408,Grieskirchen,54.99
104,Güssing,13.36
502,Hallein,307.58
622,Hartberg-Fürstenfeld,24.49
203,Hermagor,43.93
310,Hollabrunn,24.06
311,Horn,26.41
702,Imst,160.62
701,Innsbruck-Land,348.50
703,Innsbruck-Stadt,1066.20
105,Jennersdorf,13.44
409,Kirchdorf an der Krems,80.91
704,Kitzbühel,561.81
201,Klagenfurt Land,80.92
204,Klagenfurt Stadt,129.90
312,Korneuburg,200.59
301,Krems (Land),58.74
313,Krems an der Donau (Stadt),117.60
705,Kufstein,305.33
706,Landeck,270.53
610,Leibnitz,47.96
611,Leoben,48.32
707,Lienz,95.99
612,Liezen,84.36
314,Lilienfeld,59.34
401,Linz (Stadt),354.70
410,Linz-Land,198.30
106,Mattersburg,67.70
315,Melk,44.14
316,Mistelbach,56.09
317,Mödling,409.78
614,Murau,51.31
620,Murtal,50.87
318,Neunkirchen,59.93
107,Neusiedl am See,92.56
108,Oberpullendorf,22.38
109,Oberwart,19.90
411,Perg,69.62
708,Reutte,115.76
412,Ried im Innkreis,44.59
413,Rohrbach,30.04
102,Rust (Stadt),136.50
501,Salzburg (Stadt),1043.00
503,Salzburg-Umgebung,315.98
504,Sankt Johann im Pongau,236.96
302,Sankt Pölten (Land),89.37
319,Sankt Pölten (Stadt),124.60
205,Sankt Veit an der Glan,43.27
414,Schärding,32.75
320,Scheibbs,49.60
709,Schwaz,280.60
206,Spittal an der Drau,62.84
402,Steyr (Stadt),136.90
415,Steyr-Land,92.58
623,Südoststeiermark,23.91
505,Tamsweg,81.85
321,Tulln,129.56
416,Urfahr-Umgebung,112.88
202,Villach Land,50.56
207,Villach Stadt,147.00
616,Vöcklabruck,123.88
417,Voitsberg,49.35
208,Völkermarkt,32.22
322,Waidhofen an der Thaya,15.20
303,Waidhofen an der Ybbs (Stadt),116.30
617,Weiz,39.94
403,Wels (Stadt),217.10
418,Wels-Land,117.78
901,Wien 01. Innere Stadt,null
902,Wien 02. Leopoldstadt,null
903,Wien 03. Landstraße,null
904,Wien 04. Wieden,null
905,Wien 05. Margareten,null
906,Wien 06. Mariahilf,null
907,Wien 07. Neubau,null
908,Wien 08. Josefstadt,null
909,Wien 09. Alsergrund,null
910,Wien 10. Favoriten,707.10
911,Wien 11. Simmering,613.80
912,Wien 12. Meidling,null
913,Wien 13. Hietzing,1006.30
914,Wien 14. Penzing,757.50
915,Wien 15. Rudolfsheim-Fünfhaus,null
916,Wien 16. Ottakring,738.50
917,Wien 17. Hernals,1102.80
918,Wien 18. Währing,1186.40
919,Wien 19. Döbling,1560.00
920,Wien 20. Brigittenau,null
921,Wien 21. Floridsdorf,705.70
922,Wien 22. Donaustadt,759.00
923,Wien 23. Liesing,700.60
304,Wiener Neustadt (Land),82.58
323,Wiener Neustadt (Stadt),227.70
209,Wolfsberg,40.23
506,Zell am See,238.85
325,Zwettl,16.59